,Variable,Position,Label de,Label en,Skala,N,Format,Missing
125,e030a2,126,Medikamenteneinnahme: Wegen gesundheitl. Probleme  ,Medication intake: Because of health problems,Nominal,2296,F2,-7
126,e030a3,127,Medikamenteneinnahme: Problemdauer mind. 12 Monate ,Taking medication: Problem duration at least 12 months,Nominal,2275,F2,-7
127,e030b1,128,Mehr medizin. Versorgung usw. als üblich,more medicine. supply etc than usual,Nominal,16528,F2,-7
128,e030b2,129,Mehr Versorgung: Wegen gesundheitl. Probleme ,More supply: Because of health. problems,Nominal,1036,F2,-7
129,e030b3,130,Mehr Versorgung: Problemdauer mind. 12 Monate,More care: problem duration at least 12 months,Nominal,1032,F2,-7
130,e030c1,131,"Eingeschränkt, Dinge zu tun  ",Restricted to do things,Nominal,16540,F2,-7
131,e030c2,132,Eingeschränkt: Wegen gesundheitl. Probleme  ,Restricted: Because of health. problems,Nominal,613,F2,-7
132,e030c3,133,Eingeschränkt: Problemdauer mind. 12 Monate ,Restricted: problem duration at least 12 months,Nominal,609,F2,-7
133,e030d1,134,Benötigt spezielle Therapie   ,Requires special therapy,Nominal,16526,F2,-7
134,e030d2,135,Spezielle Therapie: Wegen gesundheitl. Probleme ,Special therapy: Because of health. problems,Nominal,1304,F2,-7
135,e030d3,136,Spezielle Therapie: Problemdauer mind. 12 Monate,Special therapy: problem duration at least 12 months,Nominal,1307,F2,-7
136,e030e1,137,"Emotionale, Entwicklungs- oder Verhaltensprobleme  ","Emotional, developmental, or behavioral problems",Nominal,16278,F2,-7
137,e030e3,138,Emotionale etc. Probleme: Problemdauer mind. 12,Emotional etc. problems: problem duration at least 12,Nominal,714,F2,-7
138,e031,139,Amtlich anerkannte Behinderung   ,Officially recognized disability,Nominal,17274,F2,-7
139,e032,140,Schmerzen i. d. letzten 3 Monaten,Pain id last 3 months,Nominal,7852,F2,-7
140,e03301,141,Kopfschmerzen (EFB)    ,Headache (EFB),Ordinal,4250,F2,-7
141,e03302,142,Rückenschmerzen (EFB)    ,back pain (EFB),Ordinal,3840,F2,-7
142,e03303,143,Ohrenschmerzen (EFB)    ,ear pain (EFB),Ordinal,3983,F2,-7
143,e03304,144,Augenschmerzen (EFB)    ,eye pain (EFB),Ordinal,3799,F2,-7
144,e03305,145,Bauchschmerzen (EFB)    ,abdominal pain (EFB),Ordinal,4411,F2,-7
145,e03306,146,Schmerzen im Unterleib (EFB)  ,Lower Abdominal Pain (EFB),Ordinal,3799,F2,-7
146,e03307,147,Armschmerzen (EFB)    ,Arm Pain (EFB),Ordinal,3807,F2,-7
147,e03308,148,Beinschmerzen (EFB)    ,Leg pain (EFB),Ordinal,4074,F2,-7
148,e03309,149,Schmerzen im Brustkorb (EFB)  ,Chest Pain (EFB),Ordinal,3809,F2,-7
149,e03310,150,Halsschmerzen (EFB)    ,Sore throat (EFB),Ordinal,4131,F2,-7
150,e03311,151,Zahnschmerzen (EFB)    ,Toothache (EFB),Ordinal,3895,F2,-7
151,e034c,152,Hauptschmerz (kodiert) (EFB)   ,Main pain (coded) (EFB),Nominal,4664,F2,
152,e035,153,Wie oft Hauptschmerz (EFB)  ,How often main pain (EFB),Ordinal,3965,F2,-7
153,e035z,154,Wieviel Mal unregelmäßig Hauptschmerz (EFB) ,How many times irregular main pain (EFB),Metrisch,656,F2,-7
154,e036,155,Erstes Auftreten des Hauptschmerzes (EFB) ,First onset of main pain (EFB),Ordinal,2930,F2,-7
155,e037z,156,Stärke des Hauptschmerzes (Skala in mm),Severity of main pain (scale in mm),Metrisch,2935,F3,-7
156,e0380,157,Hauptschmerz: Menstruation (EFB)   ,Main Pain: Menstruation (EFB),Nominal,1367,F2,-7
157,e0381,158,Hauptschmerz: Erkrankung (EFB)   ,Main pain: disease (EFB),Nominal,2774,F2,-7
158,e0382,159,Hauptschmerz: Verletzung (EFB)   ,Main Pain: Injury (EFB),Nominal,2586,F2,-7
159,e0383,160,Hauptschmerz: Medizin. Behandlung/Operation (EFB)  ,Main pain: medicine. Treatment/Surgery (EFB),Nominal,2573,F2,-7
160,e0384,161,Hauptschmerz: Lärm (EFB)   ,Main Pain: Noise (EFB),Nominal,2509,F2,-7
161,e0385,162,Hauptschmerz: Sportl. Betätigung (EFB)  ,Main pain: sports. Actuation (EFB),Nominal,2549,F2,-7
162,e0386,163,Hauptschmerz: Wechsel d. Schule/Betreuungseinrichtung  ,Main pain: change d. school/care facility,Nominal,2498,F2,-7
163,e0387,164,Hauptschmerz: Trennung/Scheidung d. Eltern (EFB) ,Main pain: separation/divorce d. Parents (EFB),Nominal,2496,F2,-7
164,e0388,165,Hauptschmerz: Tod eines Angehörigen (EFB) ,Major Pain: Death of a Relative (EFB),Nominal,2492,F2,-7
165,e0389,166,Hauptschmerz: Umzug (EFB)   ,Main Pain: Moving (EFB),Nominal,2475,F2,-7
166,e03901,167,Medikamente wg. Schmerz (EFB)  ,medication according to Pain (EFB),Ordinal,2882,F2,-7
167,e03902,168,Arztbesuch wg. Schmerz (EFB)  ,visit to the doctor due to Pain (EFB),Ordinal,2890,F2,-7
168,e03903,169,Nicht in Kita/Schule wg. Schmerz (EFB),Not in daycare/school due to Pain (EFB),Ordinal,2849,F2,-7
169,e03904,170,Freunde nicht treffen wg. Schmerz (EFB),not meeting friends because Pain (EFB),Ordinal,2829,F2,-7
170,e03905,171,Keinen Appetit wg. Schmerz (EFB) ,No appetite because Pain (EFB),Ordinal,2849,F2,-7
171,e03906,172,Schlafprobleme wg. Schmerz (EFB)  ,sleep problems due Pain (EFB),Ordinal,2852,F2,-7
172,e03907,173,Hobbys nicht ausüben wg. Schmerz (EFB),Do not exercise hobbies because Pain (EFB),Ordinal,2827,F2,-7
173,e03908,174,Elternteil nicht zur Arbeit wg. Schmerz,Parent not at work due to pain,Ordinal,2814,F2,-7
174,e03909,175,Sich hingelegt wg. Schmerz (EFB) ,lying down because Pain (EFB),Ordinal,2870,F2,-7
175,e03910,176,Anders beeinträchtigt wg. Schmerz (EFB) ,Differently impaired due to Pain (EFB),Ordinal,2665,F2,-7
176,e03910c,177,Beeinträchtigung wg. Schmerz (kodiert) (EFB) ,impairment due to Pain (Coded) (EFB),Nominal,201,F2,-7
177,e03911,178,Folgendes getan wg. Schmerz (EFB) ,done the following according to Pain (EFB),Ordinal,453,F2,-7
178,e03911c,179,Was getan wg. Schmerz (kodiert) (EFB),What done according to Pain (Coded) (EFB),Nominal,561,F2,-7
179,e040,180,Unfall mit ärztlicher Behandlung i. d.,Accident with medical treatment id,Nominal,17254,F2,
180,e041,181,Unfallort     ,accident location,Nominal,2462,F2,
181,e041c,182,Sonstiger Unfallort (codiert)   ,Other accident location (coded),Nominal,71,F2,
182,e04201,183,Sturz in der Ebene  ,fall on the plain,Nominal,2444,F2,
183,e04202,184,Sturz aus der Höhe  ,fall from a height,Nominal,2444,F2,
184,e04202a,185,Sturz aus der Höhe (detailliert) ,Fall from a height (detailed),Nominal,670,F2,
185,e04203,186,Gewalt bei tätlicher Auseinandersetzung  ,Violence in a physical altercation,Nominal,2444,F2,
186,e04203a,187,Gewalt bei tätlicher Auseinandersetzung (detailliert) ,Violence during physical altercation (detailed),Nominal,131,F2,
187,e04204,188,Zusammenstoß/Zusammenprall     ,collision/collision,Nominal,2444,F2,
188,e04204a,189,Zusammenstoß/Zusammenprall (detailliert)    ,Crash/Clash (Detailed),Nominal,531,F2,
189,e04205,190,Einklemmen/Einquetschen     ,Pinching/squeezing,Nominal,2444,F2,
190,e04206,191,Verletzen an/mit scharfen/spitzen Gegenständen  ,Injuring on/with sharp/pointed objects,Nominal,2444,F2,
191,e04207,192,Badeunfall     ,swimming accident,Nominal,2444,F2,
192,e04208,193,Verkehrsunfall     ,traffic accident,Nominal,2444,F2,
193,e04208a,194,Verkehrsunfall (detailliert)    ,Traffic accident (detailed),Nominal,193,F2,
194,e04209,195,"Verbrennung, Verbrühung    ","burning, scalding",Nominal,2444,F2,
195,e04209a,196,"Verbrennung, Verbrühung (detailliert)   ","Combustion, scalding (detailed)",Nominal,85,F2,
196,e04210,197,Elektrischer Strom    ,Electrical current,Nominal,2444,F2,
197,e04211,198,Luftnot     ,shortness of breath,Nominal,2444,F2,
198,e04211a,199,Luftnot (detailliert)    ,Shortness of breath (detailed),Nominal,14,F2,
199,e04212,200,"Vergiftung, Verätzung    ","poisoning, chemical burns",Nominal,2444,F2,
200,e04212a,201,"Vergiftung, Verätzung (detailliert)   ","Poisoning, chemical burn (detailed)",Nominal,26,F2,
201,e04213,202,Fremdkörper     ,foreign body,Nominal,2444,F2,
202,e04214,203,Verletzung durch Tiere   ,animal injury,Nominal,2444,F2,
203,e04214a,204,Verletzung durch Tiere (detailliert)  ,Animal Injury (Detailed),Nominal,68,F2,
204,e04215,205,Herabgefallener Gegenstand    ,fallen object,Nominal,2444,F2,
205,e04216,206,Sonstiger Unfall    ,Another accident,Nominal,2444,F2,
206,e043m01,207,Schädelprellung     ,skull contusion,Nominal,2315,F2,
207,e043m02,208,Gehirnerschütterung     ,concussion,Nominal,2315,F2,
208,e043m03,209,Knochenbrüche     ,broken bones,Nominal,2315,F2,
209,e043m04,210,Prellung/Verrenkung/Zerrung     ,Bruise/dislocation/strain,Nominal,2315,F2,
210,e043m05,211,Offene Wunde    ,Open wound,Nominal,2315,F2,
211,e043m06,212,Quetschungen     ,bruises,Nominal,2315,F2,
212,e043m07,213,Innere Verletzungen    ,Internal injuries,Nominal,2315,F2,
213,e043m08,214,"Vergiftung, Verätzung    ","poisoning, chemical burns",Nominal,2315,F2,
214,e043m09,215,Fremdkörperverletzung     ,foreign body injury,Nominal,2315,F2,
215,e043m10,216,"Ärztlich keine Verletzung festgestellt, unklar ","Medically no injury found, unclear",Nominal,2315,F2,
216,e044,217,Unfall: Behandlung im Krankenhaus  ,Accident: Hospital treatment,Nominal,2459,F2,
217,e044z,218,Zur Behandlung: Nächte im Krankenhaus? ,For treatment: nights in the hospital?,Metrisch,318,F3,
218,e047z1,219,Alter (Monate): Freies Sitzen  ,Age (months): Free sitting,Metrisch,4397,F2,"-7, -8"
219,e0471,220,Freies Sitzen    ,Free sitting,Nominal,6162,F2,-7
220,e047z2,221,Alter (Monate): Freies Laufen  ,Age (months): Free walking,Metrisch,5027,F2,"-7, -8"
221,e0472,222,Freies Laufen    ,free running,Nominal,6208,F2,-7
222,e047z3,223,Alter (Monate): Erste Worte mit Bedeutung,Age (months): First words of meaning,Metrisch,3581,F2,"-7, -8"
223,e0473,224,Erste Worte mit Bedeutung  ,First words with meaning,Nominal,6056,F2,-7
224,e047z4,225,Alter (Monate): Allein aus Tasse trinken,Age (months): Drink alone from cup,Metrisch,3250,F2,"-7, -8"
225,e0474,226,Allein aus einer Tasse trinken ,Drink alone from a cup,Nominal,6037,F2,-7
226,e047z5,227,Alter (Monate): Tagsüber trocken  ,Age (months): Dry during the day,Metrisch,3593,F2,"-7, -8"
227,e0475,228,Tagsüber trocken    ,Dry during the day,Nominal,6100,F2,-7
228,e047z6,229,Alter (Monate): Nachts trocken  ,Age (months): Dry at night,Metrisch,2811,F2,"-7, -8"
229,e0476,230,Nachts trocken    ,dry at night,Nominal,6070,F2,-7
230,e047z7,231,Alter (Monate): Ganz sauber  ,Age (months): Quite clean,Metrisch,2836,F2,"-7, -8"
231,e0477,232,Ganz sauber    ,Completely clean,Nominal,5977,F2,-7
232,e048,233,(Derzeitige) Entwicklung    ,(Current) development,Ordinal,13069,F2,-7
233,e048a,234,Entwicklung i.d. Vorschulzeit   ,development in preschool,Ordinal,10273,F2,-7
234,e048b,235,Entwicklung i.d. Grundschulzeit   ,Development during elementary school,Ordinal,3464,F2,-7
235,kw100_e,236,KINDL- Körperliches Wohlbefinden 100 (EFB) ,KINDL- Physical well-being 100 (EFB),Metrisch,14157,F6.2,"-7,00"
236,pw100_e,237,KINDL- Psychisches Wohlbefinden 100 (EFB) ,KINDL- Mental Wellbeing 100 (EFB),Metrisch,14237,F6.2,"-7,00"
237,sel100_e,238,KINDL- Selbstwert 100 (EFB)  ,KINDL Self-Esteem 100 (EFB),Metrisch,14236,F6.2,"-7,00"
238,fam100_e,239,KINDL- Familie 100 (EFB)  ,KINDL Family 100 (EFB),Metrisch,14337,F6.2,"-7,00"
239,fre100_e,240,KINDL- Freunde 100 (EFB)  ,KINDL Friends 100 (EFB),Metrisch,14315,F6.2,"-7,00"
240,sch100_e,241,KINDL- Schule 100 (EFB)  ,KINDL School 100 (EFB),Metrisch,13227,F6.2,"-7,00"
241,tot100_e,242,KINDL- Total Quality of life 100 (EFB),KINDL - Total Quality of Life 100 (EFB),Metrisch,14291,F6.2,"-7,00"
242,emo_e,243,Skalenwert SDQ emotionale Probleme (EFB) ,Scale value SDQ emotional problems (EFB),Metrisch,14497,F3,-7
243,verh_e,244,Skalenwert SDQ Verhaltensprobleme (EFB)  ,Scale Score SDQ Behavioral Problems (EFB),Metrisch,14502,F3,-7
244,hyp_e,245,Skalenwert SDQ Hyperaktivität (EFB)  ,Score SDQ Hyperactivity (EFB),Metrisch,14498,F3,-7
245,peer_e,246,Skalenwert SDQ Peer-Probleme (EFB)  ,Scale Score SDQ Peer Problems (EFB),Metrisch,14496,F3,-7
246,proso_e,247,Skalenwert SDQ prosoziales Verhalten (EFB) ,Scale value SDQ prosocial behavior (EFB),Metrisch,14529,F3,-7
247,totsdq_e,248,Gesamtproblemwert SDQ (EFB)   ,Total Problem Score SDQ (EFB),Metrisch,14477,F3,-7
248,emoauf_e,249,SDQ emotionale Probleme (EFB)  ,SDQ Emotional Problems (EFB),Ordinal,14497,F2,-7
249,verauf_e,250,SDQ Verhaltensprobleme (EFB)   ,SDQ Behavioral Problems (EFB),Ordinal,14502,F2,-7
250,hypauf_e,251,SDQ Hyperaktivität (EFB)   ,SDQ Hyperactivity (EFB),Ordinal,14498,F2,-7
251,peeauf_e,252,SDQ Peer-Probleme (EFB)   ,SDQ Peer Issues (EFB),Ordinal,14496,F2,-7
252,proauf_e,253,SDQ prosoziales Verhalten (EFB)  ,SDQ prosocial behavior (EFB),Ordinal,14529,F2,-7
253,sdqauf_e,254,auffällig SDQ Gesamtproblemwert (EFB)  ,Conspicuous SDQ Total Problem Score (EFB),Ordinal,14477,F2,-7
254,e057_k,255,Wohnungsgröße (qm)(Klassiert)    ,Apartment size (sqm)(classified),Ordinal,16925,F3,-8
255,e058_k,256,Personen im Haushalt(Klassiert)   ,People in the household (classified),Ordinal,17239,F3,-8
256,e059,257,Schimmelige Wände    ,Moldy walls,Nominal,17280,F2,
257,e060,258,Haustiere     ,pets,Nominal,17309,F2,
